POSTE;DATE;RR;DRR;TN;HTN;TX;HTX;TM;TMNX;TNSOL;TN50;DG;TAMPLI;TNTXM;PMERM;PMERMIN;FFM;FXI;DXI;HXI;FXY;DXY;HXY;FF2M;FXI2;DXI2;HXI2;FXI3S;DXI3S;HXI3S;UN;HUN;UX;HUX;DHUMI40;DHUMI80;TSVM;DHUMEC;UM;INST;GLOT;DIFT;DIRT;SIGMA;INFRART;UV_INDICEX;NB300;BA300;NEIG;BROU;ORAG;GRESIL;GRELE;ROSEE;VERGLAS;SOLNEIGE;GELEE;FUMEE;BRUME;ECLAIR;ETPMON;ETPGRILLE;UV;TMERMAX;TMERMIN;HNEIGEF;NEIGETOTX;NEIGETOT06
76116001;20240615;10,4;162;8,8;415;15,2;1300;12,3;12,00;7,8;8,4;0;6,4;12,0;1006,4;1003,4;6,0;15,0;210;1331;9,8;220;918;;;;;13,6;;1210;64;913;99;2235;0;1013;12,3;;87;257;1111;;;27;;;;;0;0;0;;;;;;;0;0;;1,6;2,0;;;;;0;0
76116001;20240616;0,0;43;11,2;145;17,8;1739;14,4;14,50;10,3;10,5;0;6,6;14,5;1006,9;1005,4;3,4;9,4;220;1238;6,3;240;1025;;;;;8,9;;1238;65;1056;99;612;0;837;13,7;;85;141;1354;;;15;;;;;0;0;0;;;;;;;0;0;;2,4;2,6;;;;;0;0
