POSTE;DATE;RR1;DRR1;HNEIGEF;NEIGETOT;T;TD;TN;HTN;TX;HTX;DG;T10;T20;T50;T100;TNSOL;TN50;TCHAUSSEE;TW;PSTAT;PMER;GEOP;PMERMIN;FF;DD;FXI;DXI;HXI;FXY;DXY;HXY;FF2;DD2;FXI2;DXI2;HXI2;FXI3S;DXI3S;HXI3S;U;UN;HUN;UX;HUX;UABS;DHUMI40;DHUMI80;DHUMEC;TSV;ENTH;INS;GLO;DIR;DIF;GLO2;UV;INFRAR;UV_INDICE;N;NBAS;CL;CM;CH;N1;C1;B1;N2;C2;B2;N3;B3;C3;N4;C4;B4;WW;VV;DVV200;W1;W2;SOL;SOLNG;TSNEIGE;TUBENEIGE;ESNEIGE;HNEIGEFI3;HNEIGEFI1;TMER;VVMER;ETATMER;DIRHOULE;TLAGON;UV2;INS2;INFRAR2;DIR2;DIF2
76116001;2024061512;0,0;0;;0;14,4;8,8;14,1;1105;14,5;1133;0;14,6;14,6;14,5;14,1;14,1;14,3;13,7;11,5;988,2;1006,7;;1006,7;6,4;210;13,8;230;1147;9,6;220;1119;;;;;;12,4;;1117;69;68;1119;72;1154;8,5;0;0;;11,3;32,2;0;46;;;47,0;;;;8;8;;;;8;;1080;;;;;;;;;;0;32800;0;;;;;;;;;;;;;;;;0;;;
76116001;2024061513;0,0;0;;0;15,2;10,2;14,2;1209;15,2;1300;0;14,6;14,6;14,5;14,1;14,2;14,0;13,7;12,5;987,9;1006,3;;1006,3;7,5;200;14,9;210;1204;8,7;210;1222;;;;;;13,6;;1210;72;68;1204;77;1237;9,3;0;0;;12,4;34,8;0;94;;;93,0;;;;8;3;;;;1;;720;3;;1080;7;1740;;;;;0;33235;0;;;;;;;;;;;;;;;;0;;;
